,SK_ID_CURR
0,276044
1,208628
2,119027
3,414467
4,332969
5,200113
6,379027
7,159895
8,454401
9,163173
10,316629
11,341121
12,320866
13,116883
14,142589
15,310542
16,439465
17,317751
18,152172
19,237074
20,175949
21,354762
22,453328
23,158284
24,410086
25,146783
26,368502
27,334179
28,120032
29,236347
30,116066
31,105820
32,442481
33,273850
34,239700
35,217331
36,284307
37,115268
38,198788
39,337521
40,333172
41,313839
42,403567
43,101461
44,385239
45,140143
46,388910
47,414444
48,327822
49,169053
50,142248
51,445720
52,155152
53,223318
54,103323
55,222092
56,437909
57,372831
58,111316
59,108502
60,436264
61,168225
62,140458
63,270384
64,366092
65,218229
66,268348
67,364235
68,416703
69,186619
70,114810
71,221802
72,412523
73,236104
74,444850
75,156441
76,301484
77,115235
78,239372
79,213540
80,106243
81,293828
82,247427
83,345957
84,305090
85,202382
86,401076
87,199543
88,378253
89,416593
90,205670
91,185328
92,323963
93,353398
94,157640
95,406040
96,189618
97,435676
98,137553
99,340192
100,356603
101,186715
102,284386
103,344759
104,196286
105,382538
106,450994
107,207033
108,157758
109,164745
110,159954
111,250729
112,269598
113,428205
114,262411
115,188288
116,235163
117,396535
118,412463
119,341858
120,390521
121,388941
122,322704
123,256736
124,363674
125,261600
126,344985
127,374541
128,266796
129,367213
130,440965
131,268277
132,445311
133,364255
134,173172
135,226755
136,127980
137,202856
138,232222
139,371408
140,352974
141,171106
142,234202
143,284784
144,269505
145,378754
146,383497
147,289034
148,190639
149,115979
150,169857
151,275379
152,116516
153,364061
154,417363
155,359165
156,397049
157,395395
158,384473
159,245081
160,264801
161,371856
162,448867
163,355748
164,389465
165,169642
166,264320
167,140539
168,336523
169,340931
170,360497
171,203543
172,314715
173,149497
174,272483
175,327541
176,436110
177,419224
178,291637
179,355596
180,316670
181,124060
182,178709
183,257083
184,138424
185,390304
186,436768
187,382442
188,310055
189,436076
190,234129
191,157971
192,444511
193,313967
194,145329
195,262204
196,456108
197,397042
198,389352
199,146767
